req_id,timestamp,cpu_requested,mem_requested,task_duration
REQ_10001,1,0.15,0.13,108
REQ_10002,1,0.09,0.055,94
REQ_10003,2,0.099,0.137,30
REQ_10004,4,0.198,0.023,33
REQ_10005,4,0.186,0.048,26
REQ_10006,4,0.112,0.054,49
REQ_10007,5,0.113,0.03,67
REQ_10008,5,0.147,0.048,98
REQ_10009,6,0.101,0.148,89
REQ_10010,6,0.094,0.087,12
REQ_10011,7,0.099,0.077,116
REQ_10012,8,0.192,0.128,28
REQ_10013,8,0.168,0.079,63
REQ_10014,9,0.109,0.134,116
REQ_10015,9,0.069,0.139,86
REQ_10016,9,0.215,0.146,35
REQ_10017,10,0.112,0.135,38
REQ_10018,10,0.235,0.11,41
REQ_10019,10,0.186,0.144,71
REQ_10020,10,0.123,0.09,14
REQ_10021,10,0.235,0.118,29
REQ_10022,11,0.121,0.052,28
REQ_10023,12,0.205,0.084,27
REQ_10024,12,0.213,0.038,32
REQ_10025,12,0.215,0.108,64
REQ_10026,12,0.133,0.091,49
REQ_10027,13,0.131,0.133,21
REQ_10028,13,0.095,0.102,16
REQ_10029,14,0.051,0.099,69
REQ_10030,14,0.091,0.134,22
REQ_10031,15,0.208,0.022,74
REQ_10032,15,0.12,0.102,55
REQ_10033,15,0.25,0.031,56
REQ_10034,16,0.09,0.029,18
REQ_10035,16,0.173,0.088,42
REQ_10036,16,0.166,0.076,33
REQ_10037,17,0.051,0.143,85
REQ_10038,17,0.183,0.143,102
REQ_10039,17,0.083,0.137,42
REQ_10040,17,0.084,0.124,85
REQ_10041,18,0.148,0.073,93
REQ_10042,18,0.078,0.098,119
REQ_10043,18,0.092,0.133,46
REQ_10044,18,0.177,0.127,33
REQ_10045,18,0.248,0.092,30
REQ_10046,19,0.225,0.1,11
REQ_10047,19,0.094,0.128,16
REQ_10048,20,0.141,0.054,37
REQ_10049,22,0.212,0.034,20
REQ_10050,22,0.128,0.091,106
REQ_10051,22,0.131,0.105,45
REQ_10052,22,0.09,0.033,111
REQ_10053,23,0.216,0.127,73
REQ_10054,24,0.117,0.058,44
REQ_10055,25,0.206,0.094,13
REQ_10056,25,0.09,0.024,75
REQ_10057,25,0.241,0.119,17
REQ_10058,25,0.154,0.141,57
REQ_10059,26,0.145,0.127,82
REQ_10060,26,0.072,0.07,105
REQ_10061,26,0.09,0.123,95
REQ_10062,26,0.137,0.041,37
REQ_10063,26,0.232,0.101,31
REQ_10064,27,0.141,0.126,48
REQ_10065,28,0.192,0.097,95
REQ_10066,29,0.227,0.04,37
REQ_10067,29,0.235,0.137,97
REQ_10068,29,0.206,0.04,109
REQ_10069,30,0.071,0.089,34
REQ_10070,30,0.232,0.094,106
REQ_10071,31,0.134,0.103,62
REQ_10072,32,0.169,0.059,12
REQ_10073,32,0.06,0.038,18
REQ_10074,32,0.127,0.071,110
REQ_10075,32,0.148,0.04,12
REQ_10076,33,0.189,0.046,63
REQ_10077,33,0.208,0.052,102
REQ_10078,33,0.117,0.127,46
REQ_10079,33,0.125,0.063,59
REQ_10080,34,0.151,0.088,90
REQ_10081,34,0.182,0.098,38
REQ_10082,34,0.162,0.071,28
REQ_10083,35,0.239,0.067,91
REQ_10084,35,0.08,0.135,95
REQ_10085,35,0.204,0.138,51
REQ_10086,36,0.169,0.136,115
REQ_10087,36,0.112,0.047,57
REQ_10088,37,0.158,0.095,43
REQ_10089,37,0.176,0.145,74
REQ_10090,37,0.119,0.15,19
REQ_10091,37,0.181,0.031,107
REQ_10092,37,0.092,0.028,73
REQ_10093,38,0.18,0.115,65
REQ_10094,38,0.227,0.143,23
REQ_10095,38,0.228,0.132,77
REQ_10096,38,0.219,0.032,32
REQ_10097,39,0.153,0.062,60
REQ_10098,39,0.079,0.126,110
REQ_10099,40,0.117,0.051,91
REQ_10100,40,0.224,0.104,110
REQ_10101,40,0.246,0.102,33
REQ_10102,40,0.202,0.068,74
REQ_10103,40,0.227,0.107,112
REQ_10104,42,0.121,0.049,105
REQ_10105,44,0.084,0.029,118
REQ_10106,44,0.124,0.101,112
REQ_10107,44,0.128,0.032,96
REQ_10108,44,0.116,0.023,28
REQ_10109,45,0.114,0.086,23
REQ_10110,45,0.202,0.042,56
REQ_10111,46,0.145,0.058,72
REQ_10112,46,0.181,0.097,68
REQ_10113,48,0.106,0.098,113
REQ_10114,48,0.074,0.142,25
REQ_10115,48,0.244,0.059,76
REQ_10116,49,0.059,0.072,54
REQ_10117,49,0.119,0.074,97
REQ_10118,50,0.085,0.033,70
REQ_10119,50,0.219,0.059,117
REQ_10120,50,0.067,0.063,13
REQ_10121,50,0.147,0.15,26
REQ_10122,50,0.148,0.068,96
REQ_10123,50,0.11,0.065,18
REQ_10124,50,0.079,0.031,16
REQ_10125,51,0.21,0.106,105
REQ_10126,52,0.23,0.112,71
REQ_10127,52,0.138,0.096,36
REQ_10128,53,0.094,0.136,54
REQ_10129,53,0.129,0.075,66
REQ_10130,54,0.065,0.103,25
REQ_10131,54,0.168,0.064,37
REQ_10132,54,0.076,0.06,77
REQ_10133,54,0.18,0.114,28
